区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
日祝,00:00,0,13,16600,"宿泊2部 + 延長2本",13800,"宿泊2部",2800
日祝,00:00,0,20,24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)",2800
日祝,00:30,0.5,12.5,16600,"宿泊2部 + 延長2本",13800,"宿泊2部",2800
日祝,00:30,0.5,19.5,24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)",2800
日祝,01:00,1,12,16600,"宿泊2部 + 延長2本",13800,"宿泊2部",2800
日祝,01:00,1,19,24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)",2800
日祝,01:30,1.5,11.5,16600,"宿泊2部 + 延長2本",13800,"宿泊2部",2800
日祝,01:30,1.5,18.5,24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)",2800
日祝,13:30,13.5,24,25800,"休憩(サービスタイム2部) + 宿泊1部 + 延長3本",23000,"前延長1本 + 休憩(サービスタイム3部) + 宿泊2部",2800
日祝,15:30,15.5,24,28600,"前延長5本 + 宿泊1部 + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本",2800
日祝,16:00,16,23,27200,"前延長4本 + 宿泊1部 + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本",2800
平日,15:30,15.5,11.5,20800,"前延長5本 + 宿泊1部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",2400
平日,16:00,16,10.5,19400,"前延長4本 + 宿泊1部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,06:00,6,20.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,06:30,6.5,20,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,07:00,7,19.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,07:30,7.5,19,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,08:00,8,18.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
日祝,15:30,15.5,11.5,20800,"前延長5本 + 宿泊1部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",2400
日祝,16:00,16,10.5,19400,"前延長4本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
土,06:00,6,20.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
土,06:30,6.5,20,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
